Data,Local/Etapa,Prova,Atleta,Categoria,Tempo
04/07/2026,Paulista de Inverno - Santo André,400m Livre Fem,BRUNA LIMA VICENTE,35 +,6:37.99
04/07/2026,Paulista de Inverno - Santo André,400m Livre Fem,CLAUDIA COLAMARINO,55 +,7:22.25
04/07/2026,Paulista de Inverno - Santo André,50m Borboleta Masc,RAFAEL HIROSHI BRAZ DA SILVA,35 +,35.66
04/07/2026,Paulista de Inverno - Santo André,50m Borboleta Masc,ÁLVARO LOUZADA DE OLIVEIRA JUNIOR,40 +,29.79
04/07/2026,Paulista de Inverno - Santo André,50m Borboleta Fem,HELOÍSA DE SOUSA EVANGELISTA,35 +,42.11
04/07/2026,Paulista de Inverno - Santo André,100m Peito Masc,RAFAEL MELLO,35 +,1:20.01
04/07/2026,Paulista de Inverno - Santo André,100m Peito Masc,CALEBE RAMOS RIBEIRO,35 +,1:30.30
04/07/2026,Paulista de Inverno - Santo André,100m Peito Fem,TALITA CLIOGIA BARBOSA,30 +,1:43.99
04/07/2026,Paulista de Inverno - Santo André,100m Peito Fem,LARA FERREIRA DE SOUZA TONIN,35 +,1:45.57
04/07/2026,Paulista de Inverno - Santo André,100m Peito Fem,ANA REGINA OLIVAN LIMONGI,40 +,1:40.66
04/07/2026,Paulista de Inverno - Santo André,50m Livre Masc,RAFAEL MELLO,35 +,29.94
04/07/2026,Paulista de Inverno - Santo André,50m Livre Masc,RAFAEL HIROSHI BRAZ DA SILVA,35 +,31.00
04/07/2026,Paulista de Inverno - Santo André,50m Livre Masc,CALEBE RAMOS RIBEIRO,35 +,31.82
04/07/2026,Paulista de Inverno - Santo André,50m Livre Masc,ÁLVARO LOUZADA DE OLIVEIRA JUNIOR,40 +,27.09
04/07/2026,Paulista de Inverno - Santo André,50m Livre Masc,FABIUS LUIZ PALARO,50 +,38.01
04/07/2026,Paulista de Inverno - Santo André,50m Livre Fem,HELENA KIYOKA KOBAYASHI NABEIRO,50 +,31.39
